GeneID	Symbol	Description	log2(fold change)(Control vs Ulcerative Colitis)	-log10(Pvalue)(Control vs Ulcerative Colitis)
3557	IL1RN	interleukin 1 receptor antagonist	-2.621	16.22
23550	PSD4	pleckstrin and Sec7 domain containing 4	0.287	1.839
7849	PAX8	paired box 8	0.509	1.848
375260	WASH2P	WASP family homolog 2, pseudogene	0.566	2.934
118433	RPL23AP7	ribosomal protein L23a pseudogene 7	-0.231	1.835
11159	RABL2A	RAB, member of RAS oncogene family like 2A	0.406	6.22
112268423	LOC112268423	uncharacterized LOC112268423	0.878	7.86
101060091	ACTR3-AS1	ACTR3 antisense RNA 1	-0.531	1.306
10096	ACTR3	actin related protein 3	-0.402	2.895
57628	DPP10	dipeptidyl peptidase like 10	2.232	7.798
389023	DPP10-AS1	DPP10 antisense RNA 1	2.849	7.797
107985939	LOC107985939	uncharacterized LOC107985939	-0.494	2.111
51141	INSIG2	insulin induced gene 2	-0.461	4.586
8685	MARCO	macrophage receptor with collagenous structure	-1.722	3.641
55240	STEAP3	STEAP3 metalloreductase	0.831	3.292
105373581	LOC105373581	uncharacterized LOC105373581	1.15	5.183
1622	DBI	diazepam binding inhibitor, acyl-CoA binding protein	0.538	2.025
140738	TMEM37	transmembrane protein 37	1.576	8.992
6344	SCTR	secretin receptor	1.473	4.288
80775	TMEM177	transmembrane protein 177	0.869	4.947
101927764	LOC101927764	uncharacterized LOC101927764	0.403	2.501
57669	EPB41L5	erythrocyte membrane protein band 4.1 like 5	0.558	3.895
105373582	LOC105373582	uncharacterized LOC105373582	-0.892	4.521
79134	TMEM185B	transmembrane protein 185B	-0.279	3.091
105373583	LOC105373583	uncharacterized LOC105373583	0.8	1.751
105373989	LOC105373989	putative cuticle collagen 91	-2.09	6.958
3625	INHBB	inhibin subunit beta B	-1.908	9.597
105373585	LOC105373585	uncharacterized LOC105373585	-1.869	8.609
29842	TFCP2L1	transcription factor CP2 like 1	1.411	4.122
23332	CLASP1	cytoplasmic linker associated protein 1	-0.427	2.959
107985942	CLASP1-AS1	CLASP1 antisense RNA 1	-0.804	3.08
2995	GYPC	glycophorin C (Gerbich blood group)	-0.631	2.056
274	BIN1	bridging integrator 1	0.284	1.357
2071	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	-0.149	2.545
10746	MAP3K2	mitogen-activated protein kinase kinase kinase 2	-0.473	2.339
5624	PROC	protein C, inactivator of coagulation factors Va and VIIIa	1.359	5.244
105373608	LOC105373608	uncharacterized LOC105373608	0.391	1.939
4648	MYO7B	myosin VIIB	0.924	3.266
105373609	LOC105373609	uncharacterized LOC105373609	1.116	2.884
2840	GPR17	G protein-coupled receptor 17	-0.94	2.739
55339	WDR33	WD repeat domain 33	0.097	1.403
84826	SFT2D3	SFT2 domain containing 3	0.244	1.879
79595	SAP130	Sin3A associated protein 130	0.211	2.842
80097	MZT2B	mitotic spindle organizing protein 2B	0.737	2.53
84317	CCDC115	coiled-coil domain containing 115	0.501	6.305
26469	PTPN18	protein tyrosine phosphatase non-receptor type 18	0.542	4.208
50649	ARHGEF4	Rho guanine nucleotide exchange factor 4	0.331	4.773
130074	FAM168B	family with sequence similarity 168 member B	0.223	1.539
150786	RAB6D	RAB6D, member RAS oncogene family	0.373	2.7
653784	MZT2A	mitotic spindle organizing protein 2A	0.565	1.889
90557	CCDC74A	coiled-coil domain containing 74A	-0.505	2.646
29798	C2orf27A	chromosome 2 open reading frame 27A	-1.044	5.895
2863	GPR39	G protein-coupled receptor 39	1.035	4.715
116372	LYPD1	LY6/PLAUR domain containing 1	0.542	2.561
23518	R3HDM1	R3H domain containing 1	-0.309	3.544
107985946	LOC107985946	uncharacterized LOC107985946	-0.704	2.714
23190	UBXN4	UBX domain protein 4	-0.467	3.651
1615	DARS1	aspartyl-tRNA synthetase 1	-0.494	4.625
101928243	DARS1-AS1	DARS1 antisense RNA 1	-0.347	2.477
3176	HNMT	histamine N-methyltransferase	0.583	5.399
8942	KYNU	kynureninase	-2.151	12.454
55843	ARHGAP15	Rho GTPase activating protein 15	-0.671	2.685
101928361	LOC101928361	uncharacterized LOC101928361	-1.24	4.585
79712	GTDC1	glycosyltransferase like domain containing 1	-0.337	2.874
9839	ZEB2	zinc finger E-box binding homeobox 2	-0.767	2.295
92	ACVR2A	activin A receptor type 2A	0.347	3.227
5000	ORC4	origin recognition complex subunit 4	0.216	2.088
55777	MBD5	methyl-CpG binding domain protein 5	-0.335	2.105
26122	EPC2	enhancer of polycomb homolog 2	-0.489	2.633
375287	RBM43	RNA binding motif protein 43	-0.425	1.549
9111	NMI	N-myc and STAT interactor	-0.385	3.644
7130	TNFAIP6	TNF alpha induced protein 6	-2.968	16.534
55183	RIF1	replication timing regulatory factor 1	-0.341	1.744
4703	NEB	nebulin	-1.287	7.88
101929356	LOC101929356		-0.69	2.257
26225	ARL5A	ADP ribosylation factor like GTPase 5A	-0.521	3.525
114793	FMNL2	formin like 2	-0.441	2.127
105373690	LOC105373690		-0.407	1.646
55660	PRPF40A	pre-mRNA processing factor 40 homolog A	-0.2	1.327
440918	FLJ46875	uncharacterized LOC440918	0.503	3.175
57471	ERMN	ermin	-1.027	2.99
105373711	LOC105373711		-1.238	2.725
9595	CYTIP	cytohesin 1 interacting protein	-0.828	2.594
130399	ACVR1C	activin A receptor type 1C	1.022	2.881
90	ACVR1	activin A receptor type 1	-0.759	5.929
8502	PKP4	plakophilin 4	-0.42	6.031
107985780	LOC107985780		-1.084	2.986
100129029	PKP4-AS1	PKP4 antisense RNA 1	-0.692	3.789
85461	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	-0.479	2.442
151525	WDSUB1	WD repeat, sterile alpha motif and U-box domain containing 1	0.28	3.012
64844	MARCHF7	membrane associated ring-CH-type finger 7	-0.372	2.327
22925	PLA2R1	phospholipase A2 receptor 1	0.606	3.046
5937	RBMS1	RNA binding motif single stranded interacting protein 1	-1.154	5.421
10010	TANK	TRAF family member associated NFKB activator	-0.641	5.555
10213	PSMD14	proteasome 26S subunit, non-ATPase 14	-0.293	2.05
285116	AHCTF1P1	AT-hook containing transcription factor 1 pseudogene 1	-0.707	4.194
57282	SLC4A10	solute carrier family 4 member 10	1.111	4.117
101929532	LOC101929532	uncharacterized LOC101929532	-3.214	23.912
2191	FAP	fibroblast activation protein alpha	-3.49	25.648
64135	IFIH1	interferon induced with helicase C domain 1	-0.509	4.72
25801	GCA	grancalcin	-0.729	5.22
22837	COBLL1	cordon-bleu WH2 repeat protein like 1	-0.543	3.312
6328	SCN3A	sodium voltage-gated channel alpha subunit 3	-0.591	1.657
105373730	LOC105373730		-0.659	1.389
101929680	SCN1A-AS1	SCN1A and SCN9A antisense RNA 1	0.745	2.674
6335	SCN9A	sodium voltage-gated channel alpha subunit 9	0.971	6.135
27347	STK39	serine/threonine kinase 39	0.569	4.43
105373733	LOC105373733	replaced by ID 105373734	1.626	5.862
105373734	LOC105373734	uncharacterized LOC105373734	1.212	3.769
102724081	LOC102724081	uncharacterized LOC102724081	0.77	3.656
253782	CERS6	ceramide synthase 6	0.387	1.413
100861402	CERS6-AS1	CERS6 antisense RNA 1	0.595	3.168
8647	ABCB11	ATP binding cassette subfamily B member 11	2.68	8.521
10170	DHRS9	dehydrogenase/reductase 9	0.854	1.438
10324	KLHL41	kelch like family member 41	-1.28	6.514
79675	FASTKD1	FAST kinase domains 1	0.577	4.083
493911	PHOSPHO2	phosphatase, orphan 2	0.516	4.243
6741	SSB	small RNA binding exonuclease protection factor La	-0.231	2.997
130507	UBR3	ubiquitin protein ligase E3 component n-recognin 3	-0.38	1.703
140469	MYO3B	myosin IIIB	-1.805	8.437
389058	SP5	Sp5 transcription factor	-0.696	1.936
285141	ERICH2	glutamate rich 2	-0.378	1.392
1781	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2	-0.217	1.471
8520	HAT1	histone acetyltransferase 1	-0.252	2.246
254042	METAP1D	methionyl aminopeptidase type 1D, mitochondrial	0.366	3.44
5163	PDK1	pyruvate dehydrogenase kinase 1	-1.126	8.643
11069	RAPGEF4	Rap guanine nucleotide exchange factor 4	-1.617	7.585
51776	MAP3K20	mitogen-activated protein kinase kinase kinase 20	-0.783	2.833
339751	MAP3K20-AS1	MAP3K20 antisense RNA 1	-0.996	2.533
83879	CDCA7	cell division cycle associated 7	0.632	2.507
107985961	LOC107985961		0.732	1.723
6670	SP3	Sp3 transcription factor	-0.451	2.502
151556	GPR155	G protein-coupled receptor 155	-0.571	2.31
7456	WIPF1	WAS/WASL interacting protein family member 1	-0.733	2.343
1134	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	2.038	8.77
1123	CHN1	chimerin 1	-2.366	17.112
1386	ATF2	activating transcription factor 2	-0.528	3.598
518	ATP5MC3	ATP synthase membrane subunit c locus 3	0.93	5.005
100129455	LOC100129455	uncharacterized LOC100129455	-1.458	9.743
3234	HOXD8	homeobox D8	-0.768	5.819
401021	LOC401021	uncharacterized LOC401021	-0.487	2.756
3232	HOXD3	homeobox D3	-0.487	1.479
401022	HAGLR	HOXD antisense growth-associated long non-coding RNA	0.858	6.289
10651	MTX2	metaxin 2	0.306	1.924
375295	LINC01116	long intergenic non-protein coding RNA 1116	-0.796	3.834
102724224	LINC01117	long intergenic non-protein coding RNA 1117	-1.037	4.125
101927027	CHROMR	cholesterol induced regulator of metabolism RNA	-0.806	4.158
51661	FKBP7	FKBP prolyl isomerase 7	-0.886	8.052
65977	PLEKHA3	pleckstrin homology domain containing A3	-0.247	1.332
100506866	TTN-AS1	TTN antisense RNA 1	-0.536	3.047
7273	TTN	titin	-0.614	2.419
91404	SESTD1	SEC14 and spectrin domain containing 1	-0.714	3.718
151126	ZNF385B	zinc finger protein 385B	1.14	3.167
3676	ITGA4	integrin subunit alpha 4	-0.615	1.679
5136	PDE1A	phosphodiesterase 1A	-0.712	2.708
54431	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10	-0.711	7.091
10787	NCKAP1	NCK associated protein 1	-0.355	1.552
107985781	FSIP2-AS1	FSIP2 antisense RNA 1	0.751	2.286
107985783	LOC107985783		0.636	2.236
101927217	LINC01473	long intergenic non-protein coding RNA 1473	0.584	2.465
55854	ZC3H15	zinc finger CCCH-type containing 15	-0.248	2.141
3685	ITGAV	integrin subunit alpha V	-1.249	10.398
165215	FAM171B	family with sequence similarity 171 member B	-1.339	5.31
10203	CALCRL	calcitonin receptor like receptor	-1.889	8.344
7035	TFPI	tissue factor pathway inhibitor	-1.384	7.611
105373791	LOC105373791	uncharacterized LOC105373791	-2.842	13.296
1281	COL3A1	collagen type III alpha 1 chain	-2.648	21.147
100500837	MIR3606	microRNA 3606	-2.762	16.532
1290	COL5A2	collagen type V alpha 2 chain	-2.409	18.137
84128	WDR75	WD repeat domain 75	-0.221	3.202
54529	ASNSD1	asparagine synthetase domain containing 1	-0.268	4.592
110599588	ASDURF	ASNSD1 upstream open reading frame	-0.544	5.469
84281	C2orf88	chromosome 2 open reading frame 88	0.802	3.564
26275	HIBCH	3-hydroxyisobutyryl-CoA hydrolase	0.803	5.691
54842	MFSD6	major facilitator superfamily domain containing 6	0.291	1.72
105376748	NEMP2-DT	NEMP2 divergent transcript	0.365	1.836
4664	NAB1	NGFI-A binding protein 1	-0.506	5.208
2744	GLS	glutaminase	-0.484	2.156
6772	STAT1	signal transducer and activator of transcription 1	-1.446	14.229
105373805	STAT4-AS1	STAT4 antisense RNA 1	-0.545	1.314
6775	STAT4	signal transducer and activator of transcription 4	-0.715	2.55
4430	MYO1B	myosin IB	-0.872	9.566
64859	NABP1	nucleic acid binding protein 1	-1.097	7.19
105747689	NABP1-OT1	replaced by ID 64859	-1.458	6.248
23671	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	0.895	2.287
57181	SLC39A10	solute carrier family 39 member 10	-0.539	2.631
101927454	LOC101927454	uncharacterized LOC101927454	-0.965	3.307
57520	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	-2.168	12.822
91526	ANKRD44	ankyrin repeat domain 44	-0.708	1.899
101927547	ANKRD44-IT1	ANKRD44 intronic transcript 1	-0.804	1.526
23451	SF3B1	splicing factor 3b subunit 1	-0.341	2.245
80219	COQ10B	coenzyme Q10B	-0.248	1.474
130132	RFTN2	raftlin family member 2	-0.884	5.34
5334	PLCL1	phospholipase C like 1 (inactive)	-1.113	4.037
105373831	LOC105373831	uncharacterized LOC105373831	2.023	3.665
23314	SATB2	SATB homeobox 2	1.347	4.537
150538	SATB2-AS1	SATB2 antisense RNA 1	2.117	4.532
348751	FTCDNL1	formiminotransferase cyclodeaminase N-terminal like	0.516	3.614
205327	C2orf69	chromosome 2 open reading frame 69	-0.322	1.369
79568	MAIP1	matrix AAA peptidase interacting protein 1	0.401	2.221
316	AOX1	aldehyde oxidase 1	-1.299	3.846
101927795	BZW1-AS1	BZW1 antisense RNA 1	-0.805	3.305
9689	BZW1	basic leucine zipper and W2 domains 1	-0.498	4.706
1195	CLK1	CDC like kinase 1	-0.438	2.086
4709	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	0.485	2.121
8837	CFLAR	CASP8 and FADD like apoptosis regulator	-0.546	6.036
65072	CFLAR-AS1	CFLAR antisense RNA 1	-0.69	6.726
843	CASP10	caspase 10	-0.713	6.785
841	CASP8	caspase 8	-0.291	1.625
130540	FLACC1	flagellum associated containing coiled-coil domains 1	-0.496	1.615
66008	TRAK2	trafficking kinesin protein 2	0.236	1.54
55437	STRADB	STE20 related adaptor beta	0.743	5.191
65062	TMEM237	transmembrane protein 237	-0.587	6.96
57679	ALS2	alsin Rho guanine nucleotide exchange factor ALS2	-0.379	2.815
692058	SNORD11	small nucleolar RNA, C/D box 11	-0.887	2.09
659	BMPR2	bone morphogenetic protein receptor type 2	-0.898	5.456
150864	FAM117B	family with sequence similarity 117 member B	0.53	3.666
57404	CYP20A1	cytochrome P450 family 20 subfamily A member 1	0.139	1.619
10152	ABI2	abl interactor 2	-0.399	2.591
65059	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	-0.43	2.169
940	CD28	CD28 molecule	-1.063	2.83
1493	CTLA4	cytotoxic T-lymphocyte associated protein 4	-1.494	5.097
29851	ICOS	inducible T cell costimulator	-1.203	3.325
117583	PARD3B	par-3 family cell polarity regulator beta	0.437	2.55
8828	NRP2	neuropilin 2	-1.044	3.835
54891	INO80D	INO80 complex subunit D	-0.372	1.653
4719	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	0.582	4.038
100329109	GCSHP3	GCSH pseudogene 3	0.87	5.73
1933	EEF1B2	eukaryotic translation elongation factor 1 beta 2	0.396	2.097
26798	SNORD51	small nucleolar RNA, C/D box 51	-0.419	2
57683	ZDBF2	zinc finger DBF-type containing 2	-1.268	4.876
8745	ADAM23	ADAM metallopeptidase domain 23	-0.603	1.717
22868	FASTKD2	FAST kinase domains 2	0.2	1.878
130749	CPO	carboxypeptidase O	0.53	6.923
8609	KLF7	KLF transcription factor 7	-1.165	3.995
7855	FZD5	frizzled class receptor 5	1.009	4.571
100507475	IDH1-AS1	IDH1 antisense RNA 1	0.672	1.925
200576	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing	-0.727	3.143
151050	KANSL1L	KAT8 regulatory NSL complex subunit 1 like	-0.317	1.67
79582	SPAG16	sperm associated antigen 16	0.482	4.329
471	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	0.513	4.081
2335	FN1	fibronectin 1	-1.303	4.507
112268430	LOC112268430		-1.391	5.04
55825	PECR	peroxisomal trans-2-enoyl-CoA reductase	0.714	7.01
92691	TMEM169	transmembrane protein 169	-0.419	1.333
6168	RPL37A	ribosomal protein L37a	0.568	2.318
101928156	LOC101928156	uncharacterized LOC101928156	0.53	1.637
3485	IGFBP2	insulin like growth factor binding protein 2	0.779	2.004
3488	IGFBP5	insulin like growth factor binding protein 5	-1.507	6.016
729582	DIRC3	disrupted in renal carcinoma 3	-0.623	1.812
7145	TNS1	tensin 1	-0.646	1.559
285180	RUFY4	RUN and FYVE domain containing 4	-0.89	3.021
3579	CXCR2	C-X-C motif chemokine receptor 2	-3.065	11.641
3577	CXCR1	C-X-C motif chemokine receptor 1	-3.804	17.635
10109	ARPC2	actin related protein 2/3 complex subunit 2	-0.22	1.777
14	AAMP	angio associated migratory cell protein	0.472	3.447
25953	PNKD	PNKD metallo-beta-lactamase domain containing	0.732	4.452
64114	TMBIM1	transmembrane BAX inhibitor motif containing 1	0.414	2.451
375307	CATIP	ciliogenesis associated TTC17 interacting protein	-0.996	4.343
101928513	CATIP-AS1	CATIP antisense RNA 1	-0.705	2.483
6556	SLC11A1	solute carrier family 11 member 1	-3.556	27.395
58190	CTDSP1	CTD small phosphatase 1	0.334	3.022
7429	VIL1	villin 1	0.965	3.017
9125	CNOT9	CCR4-NOT transcription complex subunit 9	-0.137	1.594
617	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	0.4	2.717
64320	RNF25	ring finger protein 25	0.336	1.466
9654	TTLL4	tubulin tyrosine ligase like 4	-0.18	1.896
1593	CYP27A1	cytochrome P450 family 27 subfamily A member 1	0.976	7.168
53632	PRKAG3	protein kinase AMP-activated non-catalytic subunit gamma 3	0.761	2.673
7475	WNT6	Wnt family member 6	-0.628	1.315
80326	WNT10A	Wnt family member 10A	0.715	2.684
54738	FEV	FEV transcription factor, ETS family member	1.888	7.12
1412	CRYBA2	crystallin beta A2	0.968	1.655
255101	CFAP65	cilia and flagella associated protein 65	2.232	9.129
107985987	LOC107985987	uncharacterized LOC107985987	2.458	9.503
3549	IHH	Indian hedgehog signaling molecule	1.768	5.488
100422957	MIR3131	microRNA 3131	1.147	2.189
79840	NHEJ1	non-homologous end joining factor 1	0.865	8.041
151295	SLC23A3	solute carrier family 23 member 3	0.945	5.19
27013	CNPPD1	cyclin Pas1/PHO80 domain containing 1	0.729	6.86
79137	RETREG2	reticulophagy regulator family member 2	0.486	6.035
130617	ZFAND2B	zinc finger AN1-type containing 2B	0.947	5.858
10058	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	-0.419	3.246
55139	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1	0.319	1.81
8576	STK16	serine/threonine kinase 16	0.495	3.769
80086	TUBA4B	tubulin alpha 4b	-0.593	3.641
3300	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	0.293	1.388
5798	PTPRN	protein tyrosine phosphatase receptor type N	-0.94	1.94
23549	DNPEP	aspartyl aminopeptidase	0.417	3.051
105373884	DNPEP-AS1	DNPEP antisense RNA 1	0.989	2.709
100996693	SPEGNB	SPEG neighbor	0.713	2.447
79586	CHPF	chondroitin polymerizing factor	-0.546	2.958
130612	TMEM198	transmembrane protein 198	-0.765	6.649
114790	STK11IP	serine/threonine kinase 11 interacting protein	0.383	3.107
6508	SLC4A3	solute carrier family 4 member 3	-0.728	2.171
2043	EPHA4	EPH receptor A4	-0.465	1.86
440934	CT75	cancer/testis associated transcript 75	-1.098	4.885
130367	SGPP2	sphingosine-1-phosphate phosphatase 2	0.601	2.058
10056	FARSB	phenylalanyl-tRNA synthetase subunit beta	0.441	3.001
23704	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4	-1.661	7.021
57590	WDFY1	WD repeat and FYVE domain containing 1	-0.469	3.973
79843	FAM124B	family with sequence similarity 124 member B	-1.059	2.822
55619	DOCK10	dedicator of cytokinesis 10	-0.507	1.42
3667	IRS1	insulin receptor substrate 1	-0.691	3.05
84236	RHBDD1	rhomboid domain containing 1	-0.4	4.809
1286	COL4A4	collagen type IV alpha 4 chain	-0.89	3.896
79853	TM4SF20	transmembrane 4 L six family member 20	-1.033	1.595
3267	AGFG1	ArfGAP with FG repeats 1	-0.446	3.647
80704	SLC19A3	solute carrier family 19 member 3	1.036	5.39
55022	PID1	phosphotyrosine interaction domain containing 1	0.624	5.34
9320	TRIP12	thyroid hormone receptor interactor 12	-0.351	3.759
3431	SP110	SP110 nuclear body protein	-0.635	3.625
93349	SP140L	SP140 nuclear body protein like	-0.341	2.275
105373925	LOC105373925	uncharacterized LOC105373925	-0.548	2.814
6672	SP100	SP100 nuclear antigen	-0.637	5.523
101928816	LOC101928816	uncharacterized LOC101928816	-0.893	2.8
81618	ITM2C	integral membrane protein 2C	1.209	5.244
257407	C2orf72	chromosome 2 open reading frame 72	1.035	2.955
112268432	LOC112268432	uncharacterized LOC112268432	1.336	4.694
3357	HTR2B	5-hydroxytryptamine receptor 2B	-0.526	1.463
93010	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	1.959	5.537
107985998	LOC107985998	uncharacterized LOC107985998	-0.849	3.867
10316	NMUR1	neuromedin U receptor 1	0.924	3.645
5147	PDE6D	phosphodiesterase 6D	-0.211	2.095
64708	COPS7B	COP9 signalosome subunit 7B	0.179	1.474
129563	DIS3L2	DIS3 like 3'-5' exoribonuclease 2	0.148	1.669
251	ALPG	alkaline phosphatase, germ cell	1.327	2.75
248	ALPI	alkaline phosphatase, intestinal	2.1	6.289
1146	CHRNG	cholinergic receptor nicotinic gamma subunit	0.626	2.963
9470	EIF4E2	eukaryotic translation initiation factor 4E family member 2	0.523	3.574
389084	SNORC	secondary ossification center associated regulator of chondrocyte maturation	1.438	4.966
25791	NGEF	neuronal guanine nucleotide exchange factor	1.312	5.077
101928881	LOC101928881	uncharacterized LOC101928881	1.34	4.264
54576	UGT1A8	UDP glucuronosyltransferase family 1 member A8	2.215	7.427
54575	UGT1A10	UDP glucuronosyltransferase family 1 member A10	1.995	6.199
54600	UGT1A9	UDP glucuronosyltransferase family 1 member A9	2.147	7.445
54577	UGT1A7	UDP glucuronosyltransferase family 1 member A7	2.147	7.427
54578	UGT1A6	UDP glucuronosyltransferase family 1 member A6	1.815	5.517
54579	UGT1A5	UDP glucuronosyltransferase family 1 member A5	2.144	7.454
54657	UGT1A4	UDP glucuronosyltransferase family 1 member A4	2.144	7.481
54659	UGT1A3	UDP glucuronosyltransferase family 1 member A3	2.137	7.444
54658	UGT1A1	UDP glucuronosyltransferase family 1 member A1	2.067	7.015
10123	ARL4C	ADP ribosylation factor like GTPase 4C	-0.636	1.837
116987	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	0.348	2.051
105373943	LOC105373943		0.906	3.292
